Year,Austria,Belgium,Bulgaria,Cyprus,Czechia,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,Greece,Croatia,Hungary,Ireland,Italy,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Poland,Portugal,Romania,Slovak Republic,Slovenia,Sweden,Euro area
1991,43.538,37.97,53.633,42.462,52.347,48.128,61.689,33.344,58.199,57.396,46.824,52.324,33.427,46.284,46.311,39,35.961,59.227,35.848,50.412,26.691,44.82,53.557,49.789,60.596,59.71,51.251,62.115,43.251039869387
1992,44.845,38.875,53.855,42.992,52.342,47.873,62.391,34.352,55.753,56.191,47.246,52.472,34.717,46.059,46.194,38.909,33.97,58.395,39.107,51.397,27.184,46.134,53.357,49.316,60.889,57.434,51.263,60.764,43.0826555324924
1993,45.301,39.559,52.711,43.693,52.336,47.623,61.855,34.916,54.707,55.458,47.718,52.549,34.978,45.827,44.238,40.551,33.498,57.591,37.59,51.781,27.713,46.587,52.837,49.393,60.831,55.122,51.241,59.328,43.0956241629215
1994,48.636,40.169,51.565,44.402,52.579,47.799,58.296,36.196,54.663,54.722,47.924,52.589,35.71,45.594,42.353,41.568,33.488,56.823,38.391,51.662,27.949,47.744,52.515,49.488,60.694,51.357,51.218,58.478,43.4367555123645
1995,49.391,40.541,50.417,45.109,52.327,47.685,57.468,36.654,53.706,54.631,48.17,52.551,36.413,45.368,40.372,42.107,33.515,56.07,35.921,51.671,28.152,48.351,51.473,49.427,60.495,51.485,51.208,58.916,43.5756487961446
1996,48.832,40.561,49.267,45.815,51.818,47.85,58.758,37.154,53.511,54.551,48.558,52.997,37.724,45.152,39.664,43.599,33.947,55.3,37.119,51.553,28.704,49.341,50.866,49.285,57.433,52.271,51.205,59.015,43.9135074802935
1997,48.728,41.005,48.115,46.524,51.816,48.206,59.024,37.94,53.831,54.855,48.242,53.4,37.746,44.942,38.776,44.695,34.163,54.49,38.235,52.396,29.284,50.688,49.808,49.35,59.68,51.734,52.388,58.565,44.1737708739672
1998,49.343,41.662,46.965,47.234,51.952,48.436,59.513,38.3,52.533,55.054,48.561,53.429,39.601,44.735,40.185,46.979,34.673,53.663,38.614,51.668,29.387,51.515,49.549,51.872,58.604,51.314,53.4,57.347,44.6464643693309
1999,49.514,43.167,45.815,47.947,52.104,48.987,60.038,39,51.774,56.112,48.899,53.786,40.11,44.533,41.141,48.991,35.377,55.351,40.812,49.944,29.686,53.09,49.205,52.297,58.681,51.794,51.453,58.37,45.2586019268658
2000,49.406,43.643,44.666,48.661,51.628,48.884,60.222,40.542,52.265,56.147,49.07,54.197,40.089,44.333,41.436,50.085,35.687,54.935,41.345,49.054,29.283,54.178,49.953,52.703,58.208,52.506,51.437,58.112,45.6086528256469
2001,49.36,41.864,46.457,51.387,51.264,49.334,59.659,39.336,51.731,56.656,48.869,54.09,39.322,44.13,40.986,50.256,36.228,53.264,42.415,50.226,28.871,55.141,50.118,53.442,57.109,52.916,51.751,58.583,45.637721056751
2002,50.605,42.571,46.063,52.081,50.924,49.397,60.235,41.791,50.952,56.931,49.072,54.651,39.847,43.924,41.229,51.312,36.791,52.122,43.538,51.384,30.094,55.919,48.806,54.065,51.304,52.477,51.184,58.706,46.2318814282108
2003,50.783,42.951,44.799,53.464,50.782,49.781,59.724,43.279,52.008,56.617,50.315,54.559,40.425,42.769,42.224,51.786,37.358,54.761,43.685,50.837,29.667,56.51,48.224,54.771,49.098,52.904,50.06,58.79,46.9481633431579
2004,50.639,44.25,45.465,53.029,50.523,49.481,60.383,44.673,52.978,56.367,50.129,54.934,41.601,43.569,42.066,51.991,38.44,51.304,45.438,50.74,27.346,56.965,47.52,54.294,48.732,52.549,52.488,58.479,47.2689825752597
2005,51.458,45.691,44.422,53.118,50.617,51.152,60.391,46.096,53.329,56.791,50.351,55.398,41.77,42.563,42.989,54.554,38.073,50.574,46.366,50.685,29.414,55.643,47.83,55.295,46.904,51.303,52.915,58.791,47.8901693460982
2006,52.145,45.815,46.36,54.105,50.535,52.029,60.93,47.52,54.51,57.068,50.412,55.904,42.085,42.753,43.279,55.355,38.211,49.975,46.939,52.237,29.675,56.157,46.689,55.542,47.874,50.714,53.283,59.268,48.4184159885029
2007,52.99,46.534,47.476,55.544,49.758,52.453,60.654,48.554,53.899,57.374,50.762,55.684,41.914,45.145,42.92,56.969,37.957,49.926,47.515,53.135,31.526,57.412,46.398,55.961,47.499,50.593,53.373,59.739,48.8501236388025
2008,53.507,46.912,48.333,55.721,49.325,52.559,59.903,49.935,54.763,57.374,50.948,55.966,41.909,45.746,42.697,56.827,38.685,50.27,48.09,55.024,32.51,58.351,46.75,55.827,46.845,51.014,53.596,59.86,49.3184304289987
2009,54.189,46.947,47.521,56.531,49.547,52.951,59.644,51.015,54.689,56.943,51.358,56.148,42.895,46.716,42.706,56.113,38.249,51.712,49.917,54.539,32.939,58.805,47.412,55.657,46.667,50.311,53.652,59.39,49.6226110942122
2010,54.285,47.713,47.794,57.603,49.325,53.052,58.85,51.714,55.04,55.937,51.374,56.064,43.514,46.143,43.556,55.251,38.182,52.061,49.775,53.907,33.714,58.715,48.3,55.874,46.216,50.818,53.293,59.07,49.7558538415305
2011,54.617,47.034,47.224,57.23,49.468,53.99,58.589,52.362,55.585,55.784,51.269,56.202,43.329,44.614,43.651,54.964,38.412,52.588,50.261,53.045,35.042,58.772,48.441,54.616,46.117,50.162,52.356,59.671,49.9803762845598
2012,55.114,47.1,47.849,56.805,50.04,54.022,58.148,52.941,55.312,55.963,51.505,56.41,43.673,44.537,44.546,54.77,39.721,53.085,51.893,54.319,38.213,59.298,48.833,54.681,46.272,50.685,52.259,59.995,50.4229378134909
2013,55.379,47.766,48.577,56.909,50.918,54.571,57.596,52.889,55.275,55.505,51.728,56.759,43.551,44.579,44.711,55.27,39.692,52.77,52.506,54.018,40.426,59.255,48.843,54.137,46.031,51.044,51.607,60.533,50.573018432297
2014,55.422,48.077,48.63,58.465,50.86,54.759,57.019,52.608,54.474,55.481,51.637,57.015,43.984,46.416,46.047,54.929,40.141,53.667,53.447,53.409,42.095,58.461,49.224,53.81,46.226,51.926,52.251,60.773,50.6568117989356
2015,55.466,48.004,48.573,57.589,51.244,54.708,56.737,52.593,55.791,55.591,51.64,57.198,44.531,46.86,46.95,54.853,39.789,54.194,54.569,54.107,42.822,58.803,49.082,53.742,45.298,51.974,51.912,61.158,50.6428053362801
2016,56.016,47.77,47.666,56.208,51.86,55.645,57.563,52.581,56.178,54.987,51.625,57.495,44.602,45.409,47.632,55.592,40.457,55.398,53.527,54.972,44.536,58.682,49.087,53.504,44.503,52.572,51.998,61.379,51.0004902043811
2017,56.016,48.737,49.518,56.7,52.283,55.915,57.616,52.18,56.924,55.188,51.311,57.794,44.354,45.543,47.984,55.653,40.932,55.674,54.979,55.147,46.103,58.797,49.197,54.06,45.952,52.7,53.786,61.833,51.1240492555258
2018,56.059,49.533,49.218,57.29,52.775,55.965,57.567,51.912,57.264,55.856,51.43,58.034,43.928,45.476,48.309,56.038,41.096,56.354,55.804,55.775,48.684,59.098,49.274,54.483,45.713,52.316,53.742,62.146,51.2284627148406
2019,56.15,49.841,50.276,57.354,52.59,56.596,57.987,52.143,57.455,55.765,51.256,58.456,44.08,45.139,48.368,56.251,41.248,57.033,55.837,55.659,50.253,59.812,48.979,54.781,45.643,52.304,53.235,62.306,51.4944408138556
2020,55.902,49.336,49.188,56.521,51.816,55.56,57.75,51.088,57.369,55.224,50.626,58.607,43.268,44.638,48.164,55.094,39.834,57.08,57.018,56,51.982,59.887,48.69,53.598,45.428,51.924,53.197,61.694,50.6289993433651
2021,56.099,50.042,49.034,57.692,51.965,55.471,58.071,52.584,57.821,55.924,52.204,58.347,43.858,45.746,52.413,57.851,40.097,56.957,58.146,54.291,53.181,60.631,50.284,53.827,41.114,55.079,54.068,62.191,51.3812408108029
2022,56.555,50.829,50.598,59.436,52.221,56.149,59.441,52.605,60.17,57.255,52.524,58.134,45.006,46.798,53.606,59.376,40.684,57.409,58.035,55.524,55.609,61.191,51.316,54.687,42.363,56.131,54.194,62.54,51.960350984445
2023,56.748,50.551,50.109,60.262,51.921,56.448,59.519,52.626,61.139,57.722,52.782,58.258,45.188,47.929,53.976,59.87,41.273,57.081,57.818,55.68,56.939,61.724,51.576,55.291,42.366,56.289,53.847,63.375,52.2700742418145